,0,1
202,proszę proszę zrozumieć dzwonię awarii telewizora gra telewizor,dtv
203,proszę przekazać dziękuję usługę umówioną poniedziałek jutro,dtv
204,faktury proszę dostałem papierowej bym chciał zapłacić usługę,płatności
205,dotyczy stacjonarnego takiego światłowodu,internet stacjonarny
206,internet stacjonarny,internet stacjonarny
207,stało dwóch dni telewizor chyba tygodnia,dtv
208,minęło minęło fakcie przejrzysz rachunek przeszczepić skrzynce,saldo
209,ogóle działał telewizor komunikat telewizje pamiętam wie,dtv
210,chce rozmawiać temat przeniesienia usług,przeniesienie usług
211,zatrzymany polsat działa błędy faktycznie razie polsatu,polsat
212,oczywiście dzwonię,dtv
213,krause proszę sprawdzić zaległości opłatach,windykacja
214,ameriga telewizor zepsuje będziecie odszkodowanie płacić leki nerwicę,dtv
215,analizować prawda połączenia połączyć wifi rozumiem prawdę starszą kobietą ogóle jakieś bp mieszkam,internet stacjonarny
216,analogowej cyfrowej telewizji,dtv
217,żadnego dekodera wymieniałam proszę przeanalizować sprawdzić,dtv
218,domowego komórkowego,telefon stacjonarny
219,komórkowego domowego chodzi prostu umowa telewizję,telefon mobiny
220,komórkowego dotyczy telewizora,telefon mobilny
221,nikogo mieszka dawno wymeldowane czas przysyłacie rachunki istnieje,saldo
222,pilot,dtv
223,sprzętu chodzi program polsatu,polsat
224,stacjonarnego wifi,internet stacjonarny
225,telefonu domowego telefonu komórkowego,telefon stacjonarny
226,telewizji,dtv
227,zadłużenia bym chciała mieć,windykacja
228,antenowego ogóle telewizji,dtv
229,anulować wypowiedzenia umowy,rezygnacje
230,anulowane wydzwania windykacja wiem chodzi,windykacja
231,anulowanie odstąpienie umowy,odstąpienie
232,anulowanie płatności,saldo
233,anulowanie przeniesienia numerów,przeniesienie usług
234,anulowanie przeniesienia numeru innej sieci,przeniesienie usług
235,anulowanie rezygnacji,rezygnacje
236,anulowanie wypowiedzenia,rezygnacje
237,aparat telewizyjny telewizyjny wyłącza czerwone światełko wyskakuje żadnego odbioru dekoder podobno należał ubiegłego,dtv
238,aplikacja tidal,tidal
239,aplikacji telewizji,dtv
240,aplikacji,smart tv
241,aplikacji tidal,tidal
242,arnego internetu stacjonarnego,internet stacjonarny
243,automat mówi saldo automat nagrany głos mówi żywa osoba,saldo
244,automat salda wzrostu opłat,saldo
245,awaria wtyczki wchodzącej dekoderu,dtv
246,awaria awaria dalej drugi telewizji,dtv
247,awaria awaria odbioru telewizora telefonu generalnie usług,dtv
248,awaria awaria telefonu domowego,telefon stacjonarny
249,awaria awaria telewizji satelitarnej internetu kablowej telewizji kablowej,dtv
250,awaria telewizji kablowej,dtv
251,awaria chyba trzech dni zakłócenia oglądać telewizji,dtv
252,awaria działa telewizor,dtv
253,awaria dekodera,dtv
254,awaria dekodera sygnału,dtv
255,awaria dekodera internetu stacjonarnego,internet stacjonarny
256,awaria dekodera błąd karty telewizor działa,dtv
257,awaria dekodera ogląda nigdzie przekazuje sygnałów dekodera telewizora,dtv
258,awaria dekodera przepraszam,dtv
259,awaria dekodera telewizji,dtv
260,awaria dekodera telewizji,dtv
261,awaria dekodera vectrze,dtv
262,awaria dotyczy dotyczy awarii drugi telewizji internetu knurów ulica armii krajowej,dtv
263,awaria dotyczy internetu stacjonarnego,internet stacjonarny
264,awaria dotyczy telewizji,dtv
265,awaria działa telewizor internet,dtv
266,awaria internet domowy,internet stacjonarny
267,awaria internet stacjonarny,internet stacjonarny
268,awaria internetu domowego,internet stacjonarny
269,awaria internetu domowego telewizji,internet stacjonarny
270,awaria internetu stacjonarnego,internet stacjonarny
271,awaria internetu stacjonarnego telewizji,internet stacjonarny
272,awaria internetu stacjonarnego reklamacja,internet stacjonarny
273,awaria internetu stacjonarnego router,internet stacjonarny
274,awaria internetu stacjonarnego domu,internet stacjonarny
275,awaria internetu telefon komórkowy,internet mobilny
276,awaria internetu telewizji telefonii stacjonarnej,internet stacjonarny
277,awaria awaria telewizji,dtv
278,awaria telewizji internetu,dtv
279,awaria dekodera mogę dodzwonić mogę prostu uruchomić telewizora,dtv
280,awaria mogę oglądać telewizji,dtv
281,awaria odbioru telewizji dowiedzieć,dtv
282,awaria karty dekoderze,dtv
283,awaria komputera dekodera,dtv
284,awaria komputera telewizji,dtv
285,awaria żużlowej telewizji programu telewizyjnego działa telewizja,dtv
286,awaria działa dekoder,dtv
287,awaria telewizji internetu,dtv
288,awaria odbioru telewizora,dtv
289,awaria telewizji internetu,dtv
290,awaria telewizji telefonu,dtv
291,awaria mamy telewizji internetu,dtv
292,awaria pilota działa pilot dekodera internetowego,dtv
293,awaria pilota telewizji,dtv
294,awaria prawdopodobnie dekodera,dtv
295,awaria prądu awaria będziemy mieć telewizję,dtv
296,awaria szafranka telewizji internetu,dtv
297,awaria sygnału telefonie stacjonarnym,telefon stacjonarny
298,awaria systemu telewizor internet,dtv
299,awaria techniczna dekodera,dtv
300,awaria techniczna telewizji,dtv
301,awaria techniczna telewizji internetu,dtv
302,awaria tele telewizji telefonu,dtv
303,awaria telefonu domowego,telefon stacjonarny
304,awaria telefonu domowego internetu,telefon stacjonarny
305,awaria telefonu stacjonarnego,telefon stacjonarny
306,awaria telewizji,dtv
307,awaria telewizji głosu dekoder popsuty chyba,dtv
308,awaria telewizji,dtv
309,awaria telewizji internetu,dtv
310,awaria telewizji internetu bydgoszcz kanałowa,dtv
311,awaria telewizji związku internetu,dtv
312,awaria telewizji internetu,dtv
313,awaria telewizji internetu domowego,internet stacjonarny
314,awaria telewizji internetu skarżysku,dtv
315,awaria telewizji kablowej,dtv
316,awaria telewizji kablowej internetu,dtv
317,awaria telewizji karty dekoderu,dtv
318,awaria telewizji malowaniu,dtv
319,awaria telewizji telewizji błąd,dtv
320,awaria telewizji telewizji telefonu,dtv
321,awaria telewizji ogóle,dtv
322,awaria telewizji wierchami obrazu,dtv
323,awaria telewizji godziny dwunastej południe,dtv
324,awaria telewizji borkowskiego,dtv
325,awaria telewizji piła łączna błąd błąd,dtv
326,awaria telewizji telewizji internetu,dtv
327,awaria telewizji ustka,dtv
328,awaria telewizji zaczyna,dtv
329,awaria telewizora,dtv
330,awaria telewizora awaria dekodera,dtv
331,awaria telewizora internetu,dtv
332,awaria telewizora programu,dtv
333,awaria telewizora ogóle programów,dtv
334,awaria telewizora problem kartą,dtv
335,awaria telewizora przekazu telewizyjnego,dtv
336,awaria urządzenia dekodera,dtv
337,awaria odbiera telewizor drugi,dtv
338,awaria telewizji,dtv
339,awaria telewizji,dtv
340,awaria router wifi,internet stacjonarny
341,awaria telewizji sygnału,dtv
342,awarie chciałem zgłosić telewizora sieci względem odbioru programów telewizyjnych,dtv
343,awarie gór głosu telewizorze,dtv
344,awarii awarii telewizji,dtv
345,awarii dostępu,dtv
346,awarii sygnału,dtv
347,awarii dekodera,dtv
348,awarii internetu stacjonarnego,internet stacjonarny
349,awarii gra telewizor męża gra,dtv
350,awarii rachunku numeru konta,saldo
351,awarii technicznej chodzi dekoder nagrywarką dekoder prostu nagrywa linię odtwarza,dtv
352,awarii telewizję awarii internetu,dtv
353,awarii telewizji internetu,dtv
354,awarii telewizji internetu stacjonarnego,internet stacjonarny
355,awarii telewizora awarii telewizora dzwonię mogę żadnego programu włączyć,dtv
356,awarii mojej telewizji,dtv
357,babie rachunku,saldo
358,babo zrezygnować umowy zrezygnować umowy,rezygnacje
359,badanie gowida związku przełożyć termin,zmiana terminu wizyty
360,bankowość internetowa chodzi bankowość internetową konto zablokowane chodzi odblokować,windykacja
361,hb zarejestrować,hbo
362,płatności,saldo
363,proszę jakimś pionu technicznego,dtv
364,blokuje dekoder mogę włączyć wyłączyć,dtv
365,bym chciała końcu załatwić proszę,dtv
366,bym prosiła połączenie działem płatności,saldo
367,bym prosiła sprawdzić telewizor przyjechał sprawdzić kopernika szklistym,dtv
368,,dtv
369,chętnie porozmawiać,dtv
370,często zrywa połączenie,telefon stacjonarny
371,proszę,dtv
372,proszę dowiedzieć telewizja działa,dtv
373,proszę przenieść zmieniła miejsce zamieszkania miejsce przenieść,przeniesienie usług
374,proszę dzwonię słupska telewizora programu mamy znowuż problemu dzieje często mamy programu,dtv
375,proszę kontakt wirtualnym telewizor popsuł,dtv
376,proszę przerejestrowanie działa telewizji działa internet sprawa techniczna,dtv
377,proszę połączenie osobą wystawia faktury,płatności
378,proszę przekierowanie konsultanta chodzi rachunek,saldo
379,proszę rachunków interwencja dekodera prowadziła kucharczyk kucharz bór,saldo
380,proszę sprawdzenie wysłania faktury mojego miesiąc,płatności
381,proszę wpłaty miała książeczki żebym miesiąc mogła opłacać rachunek nowy zmieniłam pakiet,saldo
382,proszę wymianę dekoderów podłączenie,dtv
383,proszę przysłać fakturę radio telewizor telefon dzwonię drugi ostatni miesiąc proszę,płatności
384,proszę saldo,saldo
385,słabo działa telewizja,dtv
386,wolno działa internet duże problemy internetem,internet stacjonarny
387,wolny internet stacjonarny,internet stacjonarny
388,bawię adres zmiany adresu,przeniesienie usług
389,bawię rezygnacji usług,rezygnacje
390,bema przeniesienia magnaty pakiet platynowy,przeniesienie usług
391,benq telewizji ogóle szyby głośności,dtv
392,telewizora proszę przyjechał naprawił wiem dziękuję przepraszam prostu telewizora wiadomo człowiek żyć dziękuję,dtv
393,bezpiecznego internetu,bezpieczny internet
394,bezpiecznej komórki,telefon mobiny
395,bezpieczny internet,bezpieczny internet
396,bezpieczny internet,bezpieczny internet
397,bezprzewodowy czas dostępności świadczenia usług,internet stacjonarny
398,gadał internet stacjonarny,internet stacjonarny
399,musiała płacić rzadko korzystam prostu mieć pewność zostanie odłączonej miała żadnej dodatkowej opłaty,saldo
400,telewizji programu,dtv
401,brzmiał rachunek następnych miesiącach,saldo
402,docierał mojego telewizora formie niezmienionej,dtv
403,zapłacenia,saldo
404,telewizja kablowa internet,dtv
405,będziecie wysyłali druki zapłaty usług,saldo
406,biała telewizor działa,dtv
407,bierna dekodera,dtv
408,bieżące faktury zapłacenia,płatności
409,bieżący rachunku,saldo
410,biling faktury,płatności
411,biling telefonu komórkowego,telefon mobilny
412,blankiet zapłaty,płatności
413,blankietów zapłaty,saldo
414,blankietów opłat oglądanie telewizji,płatności
415,blankiety opłaty,płatności
416,blankiety normalne pisemne płacenia przysłane dumnie adres,płatności
417,blankiety potrzebuję opłaty,płatności
418,blankiety rachunki,płatności
419,blankiety płot,płatności
420,blankiety wpłat,płatności
421,blokada,windykacja
422,blokada kanałów,windykacja
423,blokada konta,windykacja
424,blokada numeru,windykacja
425,blokada połączenia programów,windykacja
426,blokada programów niedozwolonych dzieci wprowadź c odblokować znam pinu,dtv
427,blokada rachunku,windykacja
428,blokada telefonu,windykacja
429,blokada telewizji,dtv
430,blokada usług,windykacja
431,blokadę usług nastąpiła blokada usług,windykacja
432,błąd,dtv
433,błąd dekoder wyświetla,dtv
434,błąd proszę pomoc dekoderze,dtv
435,błąd,dtv
436,błąd sprawy techniczne,dtv
437,błąd dekodera,dtv
438,błąd dekodera,dtv
439,błąd dekodera komunikat telewizji telewizorze błąd podłączenie prawidłowy,dtv
440,błąd dekodera działa,dtv
441,błąd dekodera telewizji,dtv
442,błąd dekodera telewizji,dtv
443,błąd,dtv
444,błąd telewizorze,dtv
445,błąd formatu pisze telewizor działa,dtv
446,błąd karty,dtv
447,błąd karty błądki,dtv
448,błąd karty aktualizacji,dtv
449,błąd kwoty faktury,płatności
450,błąd ekranie telewizora,dtv
451,błąd fakturze,płatności
452,błąd telewizorze obrazu,dtv
453,błąd,dtv
454,błąd dekodery występuje napis dwóch telewizora,dtv
455,błąd proszę sprawdzić dekoder prawidłowo podłączony,dtv
456,błąd płatności,saldo
457,błąd fakturze naliczone netflix anetki kiedyś pół darmo,płatności
458,błąd dekoderze,dtv
459,błąd fakturze,płatności
460,błąd rachunku,saldo
461,błąd rachunku umowie,saldo
462,błędne kwota fakturze,płatności
463,błędne ognie techniki dotyczy komórki zostałem rozłączony konsultant zniknął prostu chodzi informacje zareagował,telefon mobiny
464,błędnego naliczanie opłat,płatności
465,błędnie działający router,internet stacjonarny
466,błędnie naliczone faktura,płatności
467,błędnie wystawionej faktury,płatności
468,błędny adres odbiorcy fakturze,płatności
469,błędów dekoderze,dtv
470,błędy fakturze,płatności
471,błędy fakturze,płatności
472,błocie hasło wifi potrzebujemy hasło wifi,internet stacjonarny
473,błotnego prostu zrezygnować pomocy zdrowotnej,rezygnacje
474,porozmawiać,dtv
475,dowiedzieć telewizji,dtv
476,chciałem zapytać zapłaciłabym złotego zaległość wyszedłem maile wpłaciłam przynajmniej parę kanałów włączycie,windykacja
477,dekoder przestał działać,dtv
478,mniej powiem moczenie,dtv
479,dostaliśmy duży rachunek,saldo
480,dostaliśmy nowy nowy pilot dekoder działa telewizja prostu czynna dziękuję widzenia,dtv
481,dostałam rachunek duży zamawiała pakiet platynowy pakiety internet metrix,saldo
482,internetu stacjonarnego stacja oczu marnego,internet stacjonarny
483,zadzwoniłam jesteś numer kanału via sprawdzić,dtv
484,kłopoty telewizją siebie wyłączę,dtv
485,dekoderze napis,dtv
486,problem chciałem trakcie oglądania programów telewizji,dtv
487,sprawa dostałam fakturę dowiedzieć akurat duże zlecenia,płatności
488,złym stanie,dtv
489,lepszy wifi domku,internet stacjonarny
490,programu,dtv
491,chodziło otrzymałem faktur płacenia telewizor,dtv
492,działa telewizja,dtv
493,dekoder działa,dtv
494,miałam kobieta mogę samotna rachunek proszę dostałam faktury długu zapłaciłam,saldo
495,telewizor niemądre,dtv
496,ogóle telewizji halo,dtv
497,odbiera gadał pilocie sprawdzian bym kanału,dtv
498,odbiera telewizor odbiera dekoder chce włączyć,dtv
499,rachunek,saldo
500,psujecie dekoder włączy wyłączyć wiem,dtv
501,manipuluje dekoderze jakieś nonsensy powiedzieć,dtv
502,ciągle telewizji pokazują,dtv
503,wynika umowy wiem,internet stacjonarny
504,zapłacony przelew chwili przyszła faktura została zapłacona zapłaty,płatności
505,przysługuje opłata chciałam wiedzieć pieniądzach opłata tvp,saldo
506,internet domowy stacjonarny,internet stacjonarny
507,ostaszewski rozwiązać umowę,rezygnacje
508,boję internet stacjonarny,internet stacjonarny
509,bokiem odstąpienie,odstąpienie
510,boks boks tv,smart tv
511,telewizji internetu,dtv
512,borowa cierpiał telewizor rozmawiać telewizji,dtv
513,boxa programów telewizyjnych boksy,dtv
514,chce rozmawiać umowy,dtv
515,drogi rozmawiać konkretnym,dtv
516,zaniemówić wirtualna stępka wypowiedzenie umowy,rezygnacje
517,kochany rachunek rachunku opłacić telefon,saldo
518,kochany możecie połączyć przyszła rachunków,saldo
519,programu ogóle,dtv
520,wiem powiedzieć odstąpienie umowy ubezpieczenia,odstąpienie
521,potrzebuję nowy druczki opłaty,saldo
522,stacjonarna,internet stacjonarny
523,mogę mogę milionerów oglądać,internet stacjonarny
524,telewizji waszej telewizji,dtv
525,zalał wypluwają nocy światła długi czas ogóle telewizja działa,dtv
526,bóg chce,dtv
527,bp chodzi wifi,internet stacjonarny
528,abonamentu telewizji kablowej dwóch miesięcy,dtv
529,aee hb ofercie,hbo
530,aktualizacji karcie telewizora,dtv
531,anteny telewizji,dtv
532,blankietów zapłaty,saldo
533,całkowicie telewizji internetu,dtv
534,dostępu internetu wczorajszego dnia ulicy wyszyńskiego przyjść,dtv
535,dostępu kanałów telewizorze,dtv
536,faktury miesiąc przepraszam,płatności
537,sygnału ogóle telewizji internetu,dtv
538,kanałów telewizji,dtv
539,kanałów telewizyjnych odbiornik,dtv
540,obrazu telewizji,dtv
541,programów,dtv
542,programów telewizji,dtv
543,programów telewizji,dtv
544,programów telewizji kablowej,dtv
545,sygnału,dtv
546,sygnału sygnału,dtv
547,sygnału telewizyjnego,dtv
548,sygnału telefonie normalnym,dtv
549,sygnału telewizji,dtv
550,sygnału zanikło sygnału domu,dtv
551,telewizji,dtv
552,telewizji internetu,dtv
553,wifi,internet stacjonarny
554,wizji telewizji,dtv
555,całkowitej telewizji,dtv
556,chodzi telewizję telewizji,dtv
557,dekodera,dtv
558,dokumentów płatności,saldo
559,dostępności usługi,skarga
560,dostępu,dtv
561,dostępu dostępu dostępu new,dtv
562,dostępu sygnału,dtv
563,dostępu aplikacji łut,dtv
564,dostępu canal plus,dtv
565,dostępu internetu drugim routerze,dtv
566,dostępu internetu telewizji,dtv
567,dostępu internetu telewizji,dtv
568,dostępu internetu stacjonarnego,internet stacjonarny
569,dostępu kanałów,dtv
570,dostępu kanału pluć,dtv
571,dostępu kanału tvn,dtv
572,dostępu sieci,dtv
573,dostępu telewizji,dtv
574,dostępu telewizji kablowej dwóch tygodni,dtv
575,dostępu telewizji którą płacę,dtv
576,dostępu usług wielgi,dtv
577,dostępu usługi,dtv
578,dostępu pakietów programów,dtv
579,dostępu domu oglądanie kanałów telewizyjnych,dtv
580,działającego wifi,internet stacjonarny
581,działań wifi,internet stacjonarny
582,telewizji internetu,dtv
583,telewizji prostu telewizji internetu telewizji wiedzieć awaria,dtv
584,dźwięku satelicie,dtv
585,dźwięku dekoderze,dtv
586,dźwięku telewizorze,dtv
587,dźwięku dekodera,dtv
588,faktur papierowych adres zamieszkania,skarga
589,faktury,płatności
590,faktury zapłaty,płatności
591,faktury szósty,płatności
592,faktury poczcie,płatności
593,faktury,płatności
594,faktury umowa zawarta została pory faktury,płatności
595,faktury vat szyb tygodni koncie płatnika,płatności
596,faktury miesiąc,płatności
597,faktury miesiąc,płatności
598,faktury rozmawiać operatorem wezmę bezpośrednia,płatności
599,faktury usługi,płatności
600,fonii obrazu telewizji,dtv
601,głosów telewizji telewizorze głosów telewizorze,dtv
602,głosów telewizor,dtv
603,głosu,dtv
604,głosu jedynce zakłócenia wczoraj razu,dtv
605,głosu obraz,dtv
606,głosu telewizji,dtv
